,Feature,Frequence
0,Foundation,3
1,GarageType,4
2,Neighborhood,5
3,ExterQual,6
4,BsmtQual,5
5,KitchenQual,6
6,FireplaceQu,5
7,GarageFinish,5
8,SalePrice,1
9,BsmtExposure,2
10,BsmtFinType1,3
11,MasVnrType,3
12,Exterior2nd,3
13,HouseStyle,2
14,Exterior1st,3
15,BldgType,3
16,LotConfig,2
17,Condition1,1
18,Functional,1
19,PavedDrive,1
20,RoofStyle,2
21,SaleCondition,2
22,ExterCond,1
23,HeatingQC,2
24,LandContour,1
25,Fence,1
26,LotShape,2
27,Condition2,1
28,Utilities,1
29,CentralAir,1
30,Street,1
31,PoolQC,1
32,LandSlope,1
33,MSZoning,1
34,SaleType,1
