iter	RMSE
0	0.3996657401
1	0.3982168141
2	0.3966650988
3	0.3951745164
4	0.3936518274
5	0.3922522627
6	0.390764819
7	0.389198564
8	0.3878309319
9	0.3864280372
10	0.3849126257
11	0.3835371779
12	0.3820895813
13	0.3806058457
14	0.3791516839
15	0.3777471267
16	0.3762990296
17	0.3748530958
18	0.3733852661
19	0.3719657219
20	0.3705566247
21	0.3691694122
22	0.3677387287
23	0.366427712
24	0.3650312478
25	0.3636493646
26	0.3622895301
27	0.3609519577
28	0.3595955954
29	0.358257788
30	0.3568822793
31	0.3557153171
32	0.3544702265
33	0.3531756563
34	0.351924281
35	0.3505827082
36	0.3492598328
37	0.3480154699
38	0.3466761851
39	0.3454209525
40	0.3441881736
41	0.3428721806
42	0.3416326257
43	0.3403686724
44	0.3392246214
45	0.3379985366
46	0.3368070837
47	0.3355837432
48	0.3343917974
49	0.3331534881
50	0.3319413266
51	0.3307120637
52	0.3295248195
53	0.3283297449
54	0.327137019
55	0.3260537638
56	0.3248949175
57	0.3237766336
58	0.3226453704
59	0.3214544291
60	0.3203106485
61	0.3191966685
62	0.3180977094
63	0.3170305544
64	0.3159855466
65	0.3148698549
66	0.3137467705
67	0.3126992186
68	0.3116068361
69	0.31050877
70	0.3094932674
71	0.3084814825
72	0.3074096856
73	0.3063644658
74	0.3052553753
75	0.3042530189
76	0.3032016337
77	0.3021562984
78	0.3011190793
79	0.3000997169
80	0.2991244493
81	0.2981100347
82	0.2970747893
83	0.2960722188
84	0.2950532388
85	0.2940434347
86	0.2929943065
87	0.291992442
88	0.2909849897
89	0.290014394
90	0.2890465334
91	0.2880826748
92	0.2870869371
93	0.2861775053
94	0.2853078948
95	0.284345162
96	0.2834117579
97	0.2824786605
98	0.281554928
99	0.280650804
100	0.2797100819
101	0.2787857108
102	0.2778665585
103	0.276979077
104	0.27615642
105	0.2753014291
106	0.2743971407
107	0.2735522913
108	0.2726777592
109	0.2718306528
110	0.2709536619
111	0.2701193027
112	0.2692594575
113	0.2684360087
114	0.2675712798
115	0.2667440118
116	0.2659061648
117	0.2651336947
118	0.2643542895
119	0.2635260472
120	0.2626498761
121	0.2617928836
122	0.2609765306
123	0.260140007
124	0.2593049455
125	0.2584862066
126	0.2576976969
127	0.2569870923
128	0.2561682473
129	0.2553829269
130	0.2545898898
131	0.2537854786
132	0.2529748912
133	0.2522032754
134	0.2514878946
135	0.2507877124
136	0.2500481925
137	0.2493208944
138	0.2486115315
139	0.2478587843
140	0.2471956128
141	0.2464495032
142	0.2457219825
143	0.2450498931
144	0.2443642746
145	0.2436507723
146	0.2429179431
147	0.2421962719
148	0.241491604
149	0.2407676479
150	0.2401069491
151	0.239400943
152	0.2387236523
153	0.2380161681
154	0.23739768
155	0.2367360091
156	0.2360372997
157	0.2353487039
158	0.2346664694
159	0.2340201209
160	0.2333725724
161	0.2327200378
162	0.2320590731
163	0.2314047854
164	0.2307317799
165	0.2301293368
166	0.2294958172
167	0.2288618791
168	0.2281956196
169	0.2275631885
170	0.2269930889
171	0.2263518658
172	0.225730102
173	0.2251024064
174	0.2245266765
175	0.2239253218
176	0.223335336
177	0.2227542082
178	0.2221123823
179	0.221512398
180	0.2209334895
181	0.2203414945
182	0.219767474
183	0.2192355151
184	0.2186886141
