iter	Passed	Remaining
0	2	12691
1	3	10849
2	4	9725
3	6	9577
4	7	9357
5	9	9370
6	10	8816
7	11	8314
8	11	7953
9	12	7639
10	13	7345
11	14	7104
12	14	6904
13	16	6924
14	17	7015
15	18	6949
16	19	6885
17	20	6840
18	21	6823
19	22	6734
20	23	6716
21	25	6890
22	26	6838
23	27	6778
24	28	6718
25	29	6667
26	30	6647
27	32	6879
28	33	6853
29	34	6788
30	34	6731
31	35	6673
32	36	6617
33	37	6560
34	38	6497
35	38	6445
36	40	6481
37	41	6472
38	42	6473
39	43	6460
40	44	6441
41	45	6406
42	45	6370
43	46	6337
44	48	6354
45	49	6342
46	49	6325
47	50	6290
48	51	6248
49	52	6218
50	53	6184
51	53	6156
52	54	6129
53	55	6158
54	56	6152
55	57	6142
56	58	6114
57	59	6089
58	60	6070
59	61	6051
60	61	6030
61	62	6013
62	63	6015
63	64	5997
64	65	5975
65	66	5952
66	67	5938
67	67	5919
68	68	5895
69	69	5873
70	70	5857
71	71	5877
72	72	5876
73	73	5854
74	73	5835
75	74	5815
76	75	5814
77	76	5810
78	77	5807
79	78	5790
80	79	5784
81	80	5778
82	80	5767
83	81	5754
84	82	5738
85	83	5725
86	84	5713
87	84	5699
88	85	5695
89	86	5694
90	87	5693
91	88	5687
92	89	5680
93	90	5701
94	91	5687
95	92	5675
96	93	5663
97	93	5649
98	94	5636
99	95	5618
100	95	5605
101	96	5591
102	97	5573
103	98	5557
104	98	5539
105	99	5528
106	100	5516
107	100	5505
108	101	5501
109	102	5492
110	103	5480
111	104	5472
112	104	5468
113	105	5455
114	106	5440
115	106	5426
116	107	5414
117	108	5401
118	109	5388
119	109	5377
120	110	5368
121	111	5356
122	111	5348
123	112	5351
124	113	5336
125	114	5322
126	114	5311
127	115	5300
128	116	5288
129	116	5275
130	117	5270
131	118	5262
132	119	5264
133	120	5255
134	120	5245
135	121	5233
136	122	5226
137	122	5216
138	123	5206
139	124	5196
140	124	5186
141	125	5179
142	126	5169
143	126	5162
144	127	5152
145	128	5146
146	129	5136
147	129	5127
148	130	5119
149	130	5108
150	131	5100
151	132	5091
152	133	5090
153	134	5091
154	134	5090
155	135	5083
156	136	5075
157	137	5067
158	137	5059
159	138	5052
160	139	5042
161	139	5034
162	140	5027
163	141	5024
164	141	5016
165	142	5009
166	143	5003
167	143	4997
168	144	4989
169	145	4986
170	146	4980
171	146	4974
172	147	4968
173	148	4961
174	148	4958
175	149	4950
176	150	4942
177	150	4934
178	151	4927
179	152	4922
180	152	4918
181	153	4912
182	154	4906
183	155	4901
184	155	4896
185	156	4892
186	157	4887
187	158	4884
188	158	4886
189	159	4882
190	160	4879
191	161	4872
192	161	4866
193	162	4862
194	163	4863
195	164	4861
196	164	4858
197	165	4857
198	166	4855
199	167	4855
200	168	4850
201	168	4845
202	169	4839
203	170	4834
204	170	4832
205	171	4826
206	172	4823
207	173	4818
208	173	4814
209	174	4810
210	175	4806
211	175	4801
212	176	4796
213	177	4792
214	177	4787
215	178	4783
216	179	4782
217	180	4780
218	180	4777
219	181	4774
220	182	4769
221	183	4772
222	184	4769
223	184	4765
224	185	4760
225	186	4757
226	186	4753
227	187	4752
228	188	4750
229	189	4746
230	189	4743
231	190	4738
232	191	4736
233	192	4732
234	192	4729
235	193	4726
236	194	4722
237	194	4718
238	195	4718
239	196	4717
240	197	4716
241	198	4713
242	198	4709
243	199	4706
244	200	4703
245	200	4700
246	201	4697
247	202	4693
248	203	4692
249	203	4691
250	205	4696
251	206	4699
252	206	4696
253	207	4692
254	208	4688
255	208	4685
256	209	4682
257	210	4678
258	210	4676
259	211	4673
260	212	4672
261	213	4670
262	213	4667
263	214	4663
264	215	4662
265	216	4659
266	216	4657
267	217	4653
268	218	4651
269	219	4649
270	219	4647
271	220	4649
272	221	4646
273	222	4643
274	222	4641
275	223	4637
276	224	4634
277	224	4630
278	225	4627
279	226	4629
280	227	4627
281	228	4624
282	228	4621
283	229	4618
284	230	4615
285	230	4612
286	231	4608
287	232	4604
288	232	4600
289	233	4597
290	234	4594
291	234	4592
292	235	4591
293	236	4593
294	237	4589
295	238	4586
296	238	4582
297	239	4579
298	240	4576
299	240	4573
300	241	4569
301	242	4567
302	242	4564
303	243	4561
304	244	4561
305	245	4560
306	245	4557
307	246	4554
308	247	4552
309	247	4549
310	248	4546
311	249	4547
312	250	4547
313	250	4545
314	251	4545
315	252	4542
316	253	4539
317	253	4536
318	254	4533
319	255	4531
320	255	4528
321	256	4525
322	257	4525
323	258	4523
324	258	4519
325	259	4517
326	260	4513
327	260	4511
328	261	4508
329	262	4506
330	262	4502
331	263	4505
332	264	4501
333	265	4501
334	266	4499
335	266	4496
336	267	4494
337	268	4496
338	269	4495
339	270	4494
340	270	4494
341	271	4492
342	272	4489
343	272	4486
344	273	4485
345	274	4482
346	275	4481
347	275	4478
348	276	4476
349	277	4475
350	277	4473
351	278	4469
352	279	4467
353	279	4464
354	280	4463
355	281	4459
356	282	4457
357	282	4453
358	283	4449
359	283	4445
360	284	4441
361	284	4438
362	285	4434
363	286	4430
364	286	4427
365	287	4423
366	287	4419
367	288	4417
368	289	4414
369	289	4412
370	290	4408
371	291	4406
372	291	4403
373	292	4398
374	293	4396
375	293	4392
376	294	4388
377	294	4385
378	295	4382
379	296	4381
380	296	4378
381	297	4375
382	298	4372
383	298	4369
384	299	4366
385	299	4362
386	300	4358
387	301	4355
388	301	4351
389	302	4348
390	302	4344
391	303	4343
392	304	4340
393	304	4337
394	305	4334
395	306	4332
396	306	4329
397	307	4327
398	307	4323
399	308	4320
400	309	4317
401	309	4313
402	310	4311
403	310	4307
404	311	4305
405	312	4303
406	312	4300
407	313	4299
408	314	4298
409	315	4294
410	315	4292
411	316	4289
412	316	4286
413	317	4284
414	318	4281
415	318	4280
416	319	4277
417	320	4278
418	321	4280
419	322	4281
420	323	4281
421	323	4279
422	324	4279
423	325	4277
424	325	4274
425	326	4271
